,title,date,desc,content,keywords
52,"China's yuan hits 1-month low as policy easing expectations, COVID resurgence hurt - Reuters.com",2022-03-14T04:22:00Z,"China's yuan weakened to a one-month low against the dollar on Monday, breaching a key threshold, pressured by rising expectations of monetary policy easing and worries over the fast spread of locally transmitted coronavirus cases.","SHANGHAI, March 14 (Reuters) - China's yuan weakened to a one-month low against the dollar on Monday, breaching a key threshold, pressured by rising expectations of monetary policy easing and worries… [+3138 chars]","['#shanghai', '#march', '#reuters', '#china', '#yuan']"
53,Gulf markets track oil prices lower; Ukraine crisis in focus - Reuters.com,2022-03-15T08:18:00Z,"Energy-heavy Gulf markets fell on Tuesday, tracking lower oil prices as Russia-Ukraine ceasefire talks eased fears of further supply oil disruptions and coronavirus cases in China fuelled concerns about slower crude demand.","March 15 (Reuters) - Energy-heavy Gulf markets fell on Tuesday, tracking lower oil prices as Russia-Ukraine ceasefire talks eased fears of further supply oil disruptions and coronavirus cases in Chin… [+1799 chars]","['#oil', '#march', '#reuters', '#energy', '#gulf']"
54,Hong Kong reports 20082 new COVID cases as city promised fewer restrictions - Reuters.com,2022-03-18T09:16:00Z,"Hong Kong reported about 20,000 new coronavirus cases on Friday as health experts called for a clear way out of a ""zero COVID"" policy that has left the city isolated.","HONG KONG, March 18 (Reuters) - Hong Kong reported about 20,000 new coronavirus cases on Friday as health experts called for a clear way out of a ""zero COVID"" policy that has left the city isolated.… [+2182 chars]","['#hong', '#kong', '#march', '#reuters', '#reported']"
55,Italy to announce plan to scrap COVID restrictions - Reuters.com,2022-03-17T13:38:00Z,The Italian government was set to announce a two-step plan on Thursday scrapping most of its coronavirus restrictions as the country nears the end of its state of emergency.,"ROME, March 17 (Reuters) - The Italian government was set to announce a two-step plan on Thursday scrapping most of its coronavirus restrictions as the country nears the end of its state of emergency… [+1246 chars]","['#rome', '#march', '#reuters', '#government', '#set']"
56,Ecuador ends COVID limits on gatherings after hitting vaccination goal - Reuters Canada,2022-03-18T22:28:00Z,"Ecuador's president on Friday announced an end to coronavirus limits on public and private gatherings, but the South American country will continue to require foreign visitors to show proof of vaccinations or a negative COVID-19 test.","QUITO, March 18 (Reuters) - Ecuador's president on Friday announced an end to coronavirus limits on public and private gatherings, but the South American country will continue to require foreign visi… [+1841 chars]","['#quito', '#march', '#reuters', '#ecuador', '#president']"
57,Hong Kong hopes to 'resolve' coronavirus flight-ban rule as frustration grows - Reuters.com,2022-03-23T05:34:00Z,"Hong Kong is looking to amend its coronavirus travel restrictions that have largely sealed off the international business and tourism hub for two years to the growing anger of residents and businesses, the city leader said on Wednesday.","HONG KONG, March 23 (Reuters) - Hong Kong is looking to amend its coronavirus travel restrictions that have largely sealed off the international business and tourism hub for two years to the growing … [+2187 chars]","['#hong', '#kong', '#march', '#reuters', '#looking']"
58,"Not again: two years after fleeing COVID in China, Ukrainian runs from war - Reuters.com",2022-03-19T20:40:00Z,"Two years ago Julia Volok was shocked to experience an angry reception from fellow Ukrainians as she fled home from Wuhan in China, the epicentre of the soon-to-be global coronavirus pandemic.","LVIV, Ukraine, March 19 (Reuters) - Two years ago Julia Volok was shocked to experience an angry reception from fellow Ukrainians as she fled home from Wuhan in China, the epicentre of the soon-to-be… [+1941 chars]","['#lviv', '#ukraine', '#march', '#reuters', '#years']"
59,Thailand drops pre-departure test requirement for visitors - Reuters.com,2022-03-18T10:24:00Z,Thailand said on Friday it will scrap a mandatory pre-departure coronavirus test for visitors starting next month but will still require entry registrations in advance and an on-arrival test.,"BANGKOK, March 18 (Reuters) - Thailand said on Friday it will scrap a mandatory pre-departure coronavirus test for visitors starting next month but will still require entry registrations in advance a… [+1652 chars]","['#bangkok', '#march', '#reuters', '#thailand', '#said']"
60,"Australia leaders to meet amid Omicron sub-variant concerns, flood damage - Reuters",2022-03-11T00:40:00Z,"Australia's national cabinet will meet on Friday against a backdrop of concerns about the spread of the new sub-variant of the Omicron strain of the coronavirus, while eastern states battle to clear tonnes of debris after devastating floods.","SYDNEY, March 11 (Reuters) - Australia's national cabinet will meet on Friday against a backdrop of concerns about the spread of the new sub-variant of the Omicron strain of the coronavirus, while ea… [+2112 chars]","['#sydney', '#march', '#reuters', '#australia', '#cabinet']"
61,Hong Kong leader says no plans to tighten COVID social distancing measures - Reuters.com,2022-03-14T05:19:00Z,Hong Kong leader Carrie Lam said on Monday there were no current plans to further tighten strict social distancing measures as authorities battle to contain a deepening coronavirus outbreak which has submerged its health system and seen deaths soar.,"HONG KONG, March 14 (Reuters) - Hong Kong leader Carrie Lam said on Monday there were no current plans to further tighten strict social distancing measures as authorities battle to contain a deepenin… [+2251 chars]","['#hong', '#kong', '#march', '#reuters', '#leader']"
62,"Europe stocks fall as China COVID surge weighs on oil majors, miners - Reuters.com",2022-03-15T08:28:00Z,"European stock markets fell on Tuesday, with commodity-linked shares hit by concerns about surging coronavirus cases in China, while nerves ahead of a U.S. Federal Reserve meeting this week added to the gloom.","March 15 (Reuters) - European stock markets fell on Tuesday, with commodity-linked shares hit by concerns about surging coronavirus cases in China, while nerves ahead of a U.S. Federal Reserve meetin… [+1071 chars]","['#march', '#reuters', '#stock', '#markets', '#fell']"
63,Global energy-related carbon emissions rose 6% in 2021 to new record high -IEA - Reuters.com,2022-03-08T14:48:00Z,"Global energy-related emissions of carbon dioxide rose to their highest ever level in 2021 as economies recovered from the coronavirus pandemic and coal use increased, the International Energy Agency (IEA) said on Tuesday.","LONDON, March 8 (Reuters) - Global energy-related emissions of carbon dioxide rose to their highest ever level in 2021 as economies recovered from the coronavirus pandemic and coal use increased, the… [+1403 chars]","['#london', '#march', '#reuters', '#energy', '#related']"
64,Ukraine conflict adds to European supply chain snags - Reuters,2022-03-09T15:41:00Z,"European companies are suffering yet more strain on supply chains already snarled up by the coronavirus pandemic as the conflict in Ukraine leads to growing shortages of key components, they warned on Wednesday.","BERLIN, March 9 (Reuters) - European companies are suffering yet more strain on supply chains already snarled up by the coronavirus pandemic as the conflict in Ukraine leads to growing shortages of k… [+4384 chars]","['#berlin', '#march', '#reuters', '#companies', '#suffering']"
65,Thailand drops pre-departure test requirement for visitors - Reuters.com,2022-03-18T10:24:00Z,Thailand said on Friday it will scrap a mandatory pre-departure coronavirus test for visitors starting next month but will still require entry registrations in advance and an on-arrival test.,"BANGKOK, March 18 (Reuters) - Thailand said on Friday it will scrap a mandatory pre-departure coronavirus test for visitors starting next month but will still require entry registrations in advance a… [+1652 chars]","['#bangkok', '#march', '#reuters', '#thailand', '#said']"
66,"S.Korea's total COVID cases top 10 million as crematoria, funeral homes overwhelmed - Reuters.com",2022-03-23T04:54:00Z,"South Korea's total coronavirus infections topped 10 million, or nearly 20% of its population, authorities said on Wednesday, as surging severe cases and deaths increasingly put a strain on crematories and funeral homes nationwide.","SEOUL, March 23 (Reuters) - South Korea's total coronavirus infections topped 10 million, or nearly 20% of its population, authorities said on Wednesday, as surging severe cases and deaths increasing… [+2719 chars]","['#seoul', '#march', '#reuters', '#south', '#korea']"
67,ECB to tighten banks' access to loans after pandemic-era largesse - Reuters.com,2022-03-24T10:59:00Z,"The European Central Bank will tighten banks' access to its liquidity from July by phasing out exceptionally easy collateral rules introduced at the onset of the coronavirus pandemic, the ECB said on Thursday.","FRANKFURT, March 24 (Reuters) - The European Central Bank will tighten banks' access to its liquidity from July by phasing out exceptionally easy collateral rules introduced at the onset of the coron… [+2047 chars]","['#frankfurt', '#march', '#reuters', '#european', '#central']"
68,"Some House Democrats revolt over states losing COVID cash in huge government spending bill, forcing Pelosi to drop it to avoid a shutdown",2022-03-09T20:05:24Z,Democrats were forced to eject $15 billion in new coronavirus relief funding after a last-minute blow up on repurposing previous stimulus aid.,"Some Democrats launched a revolt Wednesday afternoon over planned cuts to state and local aid to fund additional coronavirus relief, delaying a planned House vote on a $1.5 trillion government fundin… [+2717 chars]","['#planned', '#democrats', '#launched', '#revolt', '#wednesday']"
69,"How Russia's invasion of Ukraine, vampire obsession, and 'secret bio-weapons' have played into China's narrative about COVID-19's origin",2022-03-11T10:01:31Z,Russia's false claims about US bio-weapons laboratories in Ukraine have fed conspiracy theories in China concerning the coronavirus' point of origin.,"Cross a love for vampires with the invasion of Ukraine, and one ends up with secret US biological weapons that led to the spread of COVID-19, at least according to Chinese social media users and stat… [+3019 chars]","['#cross', '#love', '#vampires', '#invasion', '#ukraine']"
70,"In Impasse Over New Covid Relief Aid, Neither Side Is Willing to Bend",2022-03-16T00:39:30Z,"The White House wants more money for treatments, tests, vaccines and research, but Republicans in Congress insist the administration will have to repurpose existing funds.","Mr. Bidens new coronavirus response strategy, outlined this month, included plans to secure more antiviral pills; to build up testing capacity; and to accelerate development of the next generation of… [+1379 chars]","['#mr', '#bidens', '#new', '#coronavirus', '#response']"
71,Foxconn’s Shenzhen factories resume operations after lockdown,2022-03-21T15:27:49Z,"Foxconn, the world’s biggest contract manufacturer of electronics, says it’s “basically” resumed normal operations in Shenzhen after a partial lockdown forced its factories offline. Its Longhua and Guanlan factories are impacted.","After a week offline
Photo by Nora Tam/South China Morning Post via Getty Images
Foxconn, the worlds biggest contract manufacturer of electronics, says its basically resumed normal operations in Sh… [+1282 chars]","['#week', '#photo', '#nora', '#tam', '#south']"
72,"Italy reports 60191 coronavirus cases on Tuesday, 184 deaths - Reuters.com",2022-03-08T16:56:00Z,"Italy reported 60,191 COVID-19 related cases on Tuesday, against 22,083 the day before, the health ministry said, while the number of deaths rose to 184 from 130.","MILAN, March 8 (Reuters) - Italy reported 60,191 COVID-19 related cases on Tuesday, against 22,083 the day before, the health ministry said, while the number of deaths rose to 184 from 130.
Italy ha… [+812 chars]","['#italy', '#milan', '#march', '#reuters', '#reported']"
73,"Italy reports 32573 coronavirus cases on Monday, 119 deaths - Reuters",2022-03-21T17:46:00Z,"Italy reported 32,573 COVID-19 related cases on Monday, against 60,415 the day before, the health ministry said, while the number of deaths rose to 119 from 93.","MILAN, March 21 (Reuters) - Italy reported 32,573 COVID-19 related cases on Monday, against 60,415 the day before, the health ministry said, while the number of deaths rose to 119 from 93.
Italy has… [+811 chars]","['#italy', '#milan', '#march', '#reuters', '#reported']"
74,"Public health measures are key to curbing Covid in UK, say scientists",2022-03-20T08:30:51Z,"On the second anniversary of the first lockdown, experts including Wellcome Trust director Jeremy Farrar, outline what needs to be done to cope with pandemics<ul><li>Coronavirus – latest updates</li><li>See all our coronavirus coverage</li></ul>Stopping the s…","Stopping the spread of Covid-19 through public health measures remains vital to curbing the pandemic, one of Britains most senior scientific figures has warned.
On the eve of the second anniversary … [+7011 chars]","['#stopping', '#spread', '#health', '#measures', '#remains']"
75,Italian former PM faces renewed questions over Covid aid from Russia,2022-03-23T16:37:20Z,"Moscow dispatched military doctors, PPE and ventilators to Italy early in coronavirus pandemic<ul><li>Ukraine-Russia war – latest updates</li></ul>Italy’s former prime minister Giuseppe Conte is under pressure to clarify an arrangement under which Russia supp…","Italys former prime minister Giuseppe Conte is under pressure to clarify an arrangement under which Russia supplied aid to Italy early in the coronavirus pandemic, as questions resurface over the Kre… [+2589 chars]","['#prime', '#minister', '#giuseppe', '#conte', '#pressure']"
76,UK economy bounces back from Omicron as more people dine out,2022-03-11T07:42:05Z,"All sectors returned to growth in January to help lift GDP by 0.8%, says ONS<ul><li>Business live updates: UK economy rebounds strongly</li><li>See all our coronavirus coverage</li></ul>Britain’s economy bounced back from the Omicron variant of coronavirus at…","Britains economy bounced back from the Omicron variant of coronavirus at a faster pace than expected during January, as consumers returned to eating and drinking out in pubs and restaurants.
The Off… [+2382 chars]","['#britains', '#economy', '#bounced', '#omicron', '#variant']"
77,"NHS under pressure from new Covid wave across England, says Chris Whitty",2022-03-23T12:50:45Z,"Increasing numbers of people needing hospital treatment for coronavirus, says chief medical officerThe NHS is coming under “significant” pressure amid a rise in Covid cases in virtually every area of England, the chief medical officer has warned, with hospita…","The NHS is coming under significant pressure amid a rise in Covid cases in virtually every area of England, the chief medical officer has warned, with hospitalisations likely to continue increasing a… [+3762 chars]","['#nhs', '#coming', '#pressure', '#rise', '#cases']"
78,Austrian health minister Mueckstein resigns - Reuters,2022-03-03T15:31:00Z,"Austrian Health Minister Wolfgang Mueckstein resigned on Thursday, the second top official to step down within a year under the strain of tackling the coronavirus pandemic.","VIENNA, March 3 (Reuters) - Austrian Health Minister Wolfgang Mueckstein resigned on Thursday, the second top official to step down within a year under the strain of tackling the coronavirus pandemic… [+864 chars]","['#vienna', '#march', '#reuters', '#health', '#minister']"
79,"Japan set to extend coronavirus limits, ease border rules - Reuters",2022-03-03T02:11:00Z,"Japan is set to loosen border controls to allow more people to enter the country, especially students, while extending infection control measures to limit the spread of the coronavirus in several areas, including Tokyo.","TOKYO, March 3 (Reuters) - Japan is set to loosen border controls to allow more people to enter the country, especially students, while extending infection control measures to limit the spread of the… [+2266 chars]","['#tokyo', '#march', '#reuters', '#japan', '#set']"
80,Hong Kong reports 25150 new daily coronavirus infections - Reuters.com,2022-03-07T09:30:00Z,"Hong Kong reported 25,150 new coronavirus infections and 280 deaths on Monday, as authorities struggle to contain a worsening COVID-19 outbreak which has torn through hundreds of nursing homes and hit many of the city's unvaccinated elderly.","HONG KONG, March 7 (Reuters) - Hong Kong reported 25,150 new coronavirus infections and 280 deaths on Monday, as authorities struggle to contain a worsening COVID-19 outbreak which has torn through h… [+1896 chars]","['#hong', '#kong', '#march', '#reuters', '#reported']"
81,N.F.L. Becomes First Major American Sports League to Drop Covid-19 Protocols,2022-03-03T20:11:11Z,"The league and the players’ union announced they would lift policies that had governed testing, masking and social distancing since March 2020.","The N.F.L. and the N.F.L. Players Association agreed to suspend all Covid-19 protocols, effective immediately, returning teams and players to pre-pandemic operations for the first time since March 20… [+1000 chars]","['#players', '#association', '#agreed', '#suspend', '#protocols']"
82,Hong Kong leader plans to reopen city after controlling latest COVID outbreak - Reuters.com,2022-03-10T04:28:00Z,"Hong Kong leader Carrie Lam said on Thursday it was not the time to lift a ban on flights from nine countries including the United States and Britain, with plans to reopen the city only after the government controls a deepening coronavirus outbreak.","HONG KONG, March 10 (Reuters) - Hong Kong leader Carrie Lam said on Thursday it was not the time to lift a ban on flights from nine countries including the United States and Britain, with plans to re… [+2471 chars]","['#hong', '#kong', '#march', '#reuters', '#leader']"
83,"Fed hikes interest rates, battles inflation - Reuters",2022-03-16T22:44:37Z,The Federal Reserve on Wednesday raised interest rates by a quarter of a percentage point and laid out an aggressive plan to push borrowing costs to restrictive levels by next year as concerns about high inflation and the war in Ukraine overtook the risks of …,"Posted 
The Federal Reserve on Wednesday raised interest rates by a quarter of a percentage point and laid out an aggressive plan to push borrowing costs to restrictive levels by next year as concer… [+93 chars]","['#posted', '#federal', '#reserve', '#wednesday', '#raised']"
84,AstraZeneca antibody cocktail retains activity against Omicron subvariants - Reuters,2022-03-21T07:19:00Z,"AstraZeneca <a href=""https://www.reuters.com/companies/AZN.L"" target=""_blank"">(AZN.L)</a> said on Monday its antibody-based cocktail to prevent and treat COVID-19 was shown to retain neutralising activity against the Omicron coronavirus variants, including BA…","March 21 (Reuters) - AstraZeneca (AZN.L) said on Monday its antibody-based cocktail to prevent and treat COVID-19 was shown to retain neutralising activity against the Omicron coronavirus variants, i… [+409 chars]","['#march', '#reuters', '#astrazeneca', '#azn.l', '#said']"
85,Former Takeda vaccine chief to lead new COVID antiviral venture Aerium - Reuters.com,2022-03-22T12:17:00Z,"Aerium Therapeutics, a venture-backed startup, on Tuesday announced industry veteran Rajeev Venkayya will lead the company and released data that showed its two experimental monoclonal antibodies neutralized coronavirus variants, including Omicron and its fas…","CHICAGO, March 22 (Reuters) - Aerium Therapeutics, a venture-backed startup, on Tuesday announced industry veteran Rajeev Venkayya will lead the company and released data that showed its two experime… [+2199 chars]","['#chicago', '#march', '#reuters', '#aerium', '#therapeutics']"
86,Air Canada to add 26 Airbus A321neo aircraft to its fleet - Reuters.com,2022-03-22T12:30:00Z,"Air Canada <a href=""https://www.reuters.com/companies/AC.TO"" target=""_blank"">(AC.TO)</a> said on Tuesday it would add 26 extra-long-range versions of the Airbus A321neo aircraft to its fleet as travel demand has jumped after a blip caused by the Omicron coron…",March 22 (Reuters) - Air Canada (AC.TO) said on Tuesday it would add 26 extra-long-range versions of the Airbus A321neo aircraft to its fleet as travel demand has jumped after a blip caused by the Om… [+1666 chars],"['#march', '#reuters', '#air', '#canada', '#ac.to']"
87,China seen easing medium-term borrowing costs as COVID risks grow - Reuters.com,2022-03-14T05:53:00Z,"China's central bank is expected to roll over maturing medium-term policy loans and cut borrowing costs for the second time this year, a Reuters poll showed on Monday, as the a fresh wave of coronavirus infections weighs on the broader economy.","SHANGHAI, March 14 (Reuters) - China's central bank is expected to roll over maturing medium-term policy loans and cut borrowing costs for the second time this year, a Reuters poll showed on Monday, … [+2418 chars]","['#reuters', '#shanghai', '#march', '#china', '#bank']"
88,"Fed hikes interest rates, battles inflation - Reuters",2022-03-16T22:12:21Z,The Federal Reserve on Wednesday raised interest rates by a quarter of a percentage point and laid out an aggressive plan to push borrowing costs to restrictive levels by next year as concerns about high inflation and the war in Ukraine overtook the risks of …,"Posted 
The Federal Reserve on Wednesday raised interest rates by a quarter of a percentage point and laid out an aggressive plan to push borrowing costs to restrictive levels by next year as concer… [+136 chars]","['#posted', '#federal', '#reserve', '#wednesday', '#raised']"
89,France's COVID-19 infections spike week-on-week following easing of restrictions - Reuters,2022-03-21T06:54:00Z,"France reported an average of close to 90,000 new coronavirus infections over the last seven days, marking a 36% rise from one week ago when most COVID-19 health protocol measures were lifted by the government just ahead of the country's elections.","PARIS, March 21 (Reuters) - France reported an average of close to 90,000 new coronavirus infections over the last seven days, marking a 36% rise from one week ago when most COVID-19 health protocol … [+1737 chars]","['#paris', '#march', '#reuters', '#france', '#reported']"
90,Biden will deliver remarks on law to bolster protections for women facing violence - Reuters,2022-03-16T15:22:00Z,"U.S. President Joe Biden on Wednesday will deliver remarks on the Violence Against Women Act, which he renewed a day earlier while signing a massive spending bill into law, as an alarming spike in domestic violence coinciding with the coronavirus pandemic has…","WASHINGTON, March 16 (Reuters) - U.S. President Joe Biden on Wednesday will deliver remarks on the Violence Against Women Act, which he renewed a day earlier while signing a massive spending bill int… [+1738 chars]","['#washington', '#march', '#reuters', '#u.s', '#president']"
91,Australia's Myer Holdings reinstates dividend after four years - Reuters.com,2022-03-09T23:37:00Z,"Australian retailer Myer Holdings Ltd <a href=""https://www.reuters.com/companies/MYR.AX"" target=""_blank"">(MYR.AX)</a> on Thursday announced its first dividend payout since 2017, encouraged by a return to sales growth in the second half of this year after coro…","March 10 (Reuters) - Australian retailer Myer Holdings Ltd (MYR.AX) on Thursday announced its first dividend payout since 2017, encouraged by a return to sales growth in the second half of this year … [+1344 chars]","['#march', '#reuters', '#retailer', '#myer', '#holdings']"
92,Hong Kong leader urges vaccinations as COVID infections swamp city - Reuters.com,2022-03-11T04:51:00Z,"Hong Kong leader Carrie Lam said on Friday that the city's vaccination program would focus on its elderly and children, as authorities battled to reduce a surge of coronavirus infections and climbing death rates which have ripped through care homes and overwh…","HONG KONG, March 11 (Reuters) - Hong Kong leader Carrie Lam said on Friday that the city's vaccination program would focus on its elderly and children, as authorities battled to reduce a surge of cor… [+2980 chars]","['#hong', '#kong', '#march', '#reuters', '#leader']"
93,Omicron Surge Persists in Parts of Asia,2022-03-10T10:10:22Z,Some countries in East and Southeast Asia are enduring their worst waves of the pandemic even as a severe Omicron wave has retreated in much of the world.,"The once severe Omicron wave that has retreated in much of the world is still flaring up in parts of East and Southeast Asia, where caseloads are rising and some countries are enduring their worst wa… [+2315 chars]","['#omicron', '#wave', '#retreated', '#world', '#flaring']"
94,Ont. confirms 20 virus-related deaths today; Number of COVID-19 patients in ICU drops to 246 - CP24 Toronto's Breaking News,2022-03-08T15:24:00Z,"<ol><li>Ont. confirms 20 virus-related deaths today; Number of COVID-19 patients in ICU drops to 246  CP24 Toronto's Breaking News
</li><li>Public Health Reports Two New Deaths and Increase in Hospitalizations Due to COVID-19  VOCM
</li><li>Coronavirus in Q…","Ontario is reporting another 20 virus-related deaths today as the number of COVID-19 patients in intensive care continues to decline.
Provincial health officials say there are currently 779 patients… [+1871 chars]","['#patients', '#ontario', '#reporting', '#virus', '#related']"
95,China battles multiple outbreaks of COVID-19; mass testing ordered - CP24 Toronto's Breaking News,2022-03-14T11:12:28Z,"<ol><li>China battles multiple outbreaks of COVID-19; mass testing ordered  CP24 Toronto's Breaking News
</li><li>Coronavirus cases climb in China, raising the threat of trade disruption  CBC News
</li><li>Ontario could see ‘significant uptick’ in COVID cas…","TAIPEI, Taiwan (AP) - China banned most people from leaving a coronavirus-hit northeastern province and mobilized military reservists Monday as the fast-spreading stealth omicron variant fuels the co… [+4335 chars]","['#taipei', '#taiwan', '#ap', '#china', '#banned']"
96,Second pandemic anniversary doesn't mark the end of COVID-19: Dr. Howard Njoo - CP24 Toronto's Breaking News,2022-03-11T10:49:06Z,"<ol><li>Second pandemic anniversary doesn't mark the end of COVID-19: Dr. Howard Njoo  CP24 Toronto's Breaking News
</li><li>2 years into the pandemic, burning questions remain about COVID-19 — and how we fight it  CBC News
</li><li>COVID-19: Essential coro…","The news conference at the beginning of 2020 wasnt all that different from the many Dr. Howard Njoo had held in the past.
The public health veteran helped to manage the first avian flu cases in 2004… [+4710 chars]","['#news', '#conference', '#beginning', '#dr', '#howard']"
97,"COVID-19 update for March 22: No deaths, hospitalizations keep dropping | 2,500 unvaxxed B.C. health-care workers lost jobs | Health minister says no end in sight for federal restrictions - Vancouver Sun",2022-03-23T02:03:45Z,"<ol><li>COVID-19 update for March 22: No deaths, hospitalizations keep dropping | 2,500 unvaxxed B.C. health-care workers lost jobs | Health minister says no end in sight for federal restrictions  Vancouver Sun
</li><li>Ontario confirms 7 more coronavirus de…","Here's your daily update with everything you need to know on the coronavirus situation in B.C. 
Here's your daily update with everything you need to know on the coronavirus situation in B.C.Photo by… [+10510 chars]","['#update', '#need', '#know', '#coronavirus', '#situation']"
98,US Surgeon General orders tech companies to reveal sources of COVID-19 misinformation,2022-03-04T05:35:40Z,"President Biden's surgeon general Dr. Vivek Murthy has formally called on tech companies to provide information on sources and the scale of COVID-19 misinformation, The Washington Post has reported. ""This is about protecting the nation’s health,"" he told The …","President Biden's surgeon general Dr. Vivek Murthy has formally called on tech companies to provide information on sources and the scale of COVID-19 misinformation, The Washington Post has reported. … [+1728 chars]","['#president', '#biden', '#surgeon', '#general', '#dr']"
99,"Hong Kong reports 37529 new COVID-19 cases, 150 deaths - Reuters.com",2022-03-05T09:11:00Z,"Hong Kong reported 37,529 new coronavirus infections on Saturday and 150 deaths, as the city clings to a ""zero-COVID"" strategy despite spiralling cases that have spread through care homes and overwhelmed healthcare facilities.","HONG KONG, March 5 (Reuters) - Hong Kong reported 37,529 new coronavirus infections on Saturday and 150 deaths, as the city clings to a ""zero-COVID"" strategy despite spiralling cases that have spread… [+2419 chars]","['#hong', '#kong', '#march', '#reuters', '#reported']"
